slot,file,commons_title,licence,author,url
cover,cover.jpg,File:Pyramids of the Giza Necropolis.jpg,CC BY-SA 4.0,KennyOMG,https://commons.wikimedia.org/wiki/File:Pyramids_of_the_Giza_Necropolis.jpg
nile,nile.jpg,File:Felucca at Kom Ombo on the River Nile - panoramio.jpg,CC BY 3.0,David Broad,https://commons.wikimedia.org/wiki/File:Felucca_at_Kom_Ombo_on_the_River_Nile_-_panoramio.jpg
djoser,djoser.jpg,File:Pyramid of Djoser 2010.jpg,CC BY-SA 3.0,Wknight94 talk,https://commons.wikimedia.org/wiki/File:Pyramid_of_Djoser_2010.jpg
khufu,khufu.jpg,"File:Great Pyramid (Pyramid of Cheops Khufu), Giza, GG, EGY (40936205113).jpg",CC0,"Warren LeMay from Chicago, IL, United States","https://commons.wikimedia.org/wiki/File:Great_Pyramid_(Pyramid_of_Cheops_Khufu),_Giza,_GG,_EGY_(40936205113).jpg"
hatshepsut,hatshepsut.jpg,"File:Templo funerario de Hatshepsut, Valle de las Reyes, Luxor, Egipto, 2022-04-03, DD 118.jpg",CC BY-SA 4.0,Diego Delso,"https://commons.wikimedia.org/wiki/File:Templo_funerario_de_Hatshepsut,_Valle_de_las_Reyes,_Luxor,_Egipto,_2022-04-03,_DD_118.jpg"
akhenaten,akhenaten.jpg,"File:Colossal Statue of Amenhotep IV from Karnak, 1356-1350 BCE (1).jpg",CC BY 2.0,Prof. Mortel,"https://commons.wikimedia.org/wiki/File:Colossal_Statue_of_Amenhotep_IV_from_Karnak,_1356-1350_BCE_(1).jpg"
ramesses,ramesses.jpg,"File:Nubia, Temples of Abu Simbel, Pictures, photo 3 of 7 - Archivio fotografico Museo Egizio, Turin INV25 010.jpg",CC0,unknown,"https://commons.wikimedia.org/wiki/File:Nubia,_Temples_of_Abu_Simbel,_Pictures,_photo_3_of_7_-_Archivio_fotografico_Museo_Egizio,_Turin_INV25_010.jpg"
part1,part1.jpg,"File:Luxor, Egypt, Karnak, Great Hypostyle Hall, Columns.jpg",CC BY 4.0,Vyacheslav Argenberg,"https://commons.wikimedia.org/wiki/File:Luxor,_Egypt,_Karnak,_Great_Hypostyle_Hall,_Columns.jpg"
part2,part2.jpg,"File:Cairo skyline, Nile River, Egypt.jpg",CC BY 4.0,Vyacheslav Argenberg,"https://commons.wikimedia.org/wiki/File:Cairo_skyline,_Nile_River,_Egypt.jpg"
tutankhamun,tutankhamun.jpg,File:Mask of Tutankhamun in 2025.jpg,CC BY 4.0,Dawid Wdowczyk,https://commons.wikimedia.org/wiki/File:Mask_of_Tutankhamun_in_2025.jpg
cleopatra,cleopatra.jpg,File:Dendera Tempel 14.JPG,CC BY 3.0,Olaf Tausch,https://commons.wikimedia.org/wiki/File:Dendera_Tempel_14.JPG
hunefer,hunefer.jpg,File:Book of the Dead of Hunefer sheet 3.jpg,Public domain,Hunefer,https://commons.wikimedia.org/wiki/File:Book_of_the_Dead_of_Hunefer_sheet_3.jpg
muhammadali,muhammadali.jpg,"File:ModernEgypt, Muhammad Ali by Auguste Couder, BAP 17996.jpg",Public domain,unknown,"https://commons.wikimedia.org/wiki/File:ModernEgypt,_Muhammad_Ali_by_Auguste_Couder,_BAP_17996.jpg"
suez1869,suez1869.jpg,"File:Открытие Суэцкого канала, 1869.jpg",Public domain,Сканирование: Владимир Васильев,"https://commons.wikimedia.org/wiki/File:Открытие_Суэцкого_канала,_1869.jpg"
carter1922,carter1922.jpg,File:Howard Carter and Arthur Callender in Tutankhamun's tomb.jpg,Public domain,Harry Burton,https://commons.wikimedia.org/wiki/File:Howard_Carter_and_Arthur_Callender_in_Tutankhamun's_tomb.jpg
nasser,nasser.jpg,File:Gamal Abdel Nasser Portrait 1962 (3x4 cropped).jpg,CC BY-SA 3.0,Stevan Kragujević,https://commons.wikimedia.org/wiki/File:Gamal_Abdel_Nasser_Portrait_1962_(3x4_cropped).jpg
aswan,aswan.jpg,File:Aswan Dam 21-2-08.jpg,CC BY-SA 2.0,Sigurd Gartmann,https://commons.wikimedia.org/wiki/File:Aswan_Dam_21-2-08.jpg
war1973,war1973.jpg,File:Egyptians Crossing Suez Canal.jpg,Public domain,CIA,https://commons.wikimedia.org/wiki/File:Egyptians_Crossing_Suez_Canal.jpg
campdavid,campdavid.jpg,"File:Begin, Carter and Sadat at Camp David 1978.jpg",Public domain,"Fitz-Patrick, Bill, photographer","https://commons.wikimedia.org/wiki/File:Begin,_Carter_and_Sadat_at_Camp_David_1978.jpg"
revolution1952,revolution1952.jpg,File:1953 Egypt revolution celebrations.jpg,Public domain,Not credited,https://commons.wikimedia.org/wiki/File:1953_Egypt_revolution_celebrations.jpg
tahrir2011,tahrir2011.jpg,File:Tahrir Square during 8 February 2011.jpg,CC BY 2.0,Mona,https://commons.wikimedia.org/wiki/File:Tahrir_Square_during_8_February_2011.jpg
narmer,narmer.jpg,File:Narmer Palette smiting side.jpg,Public domain,Unknown author Unknown author,https://commons.wikimedia.org/wiki/File:Narmer_Palette_smiting_side.jpg
gem2025,gem2025.jpg,File:View of Pyramids of Giza from Grand Egyptian Museum.jpg,CC BY-SA 4.0,Caoimheen3,https://commons.wikimedia.org/wiki/File:View_of_Pyramids_of_Giza_from_Grand_Egyptian_Museum.jpg
